Unnamed: 0,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count,tweet_clean
453,1553328507484504064,2022-07-30 10:35:50+00:00,https://twitter.com/ruhutsitompul/status/1553328507484504064,@Anton_Joely Eh anjingKu anton_joely makin terkaing kaing nie ye dicomberan👺kadrun sich tololnya kebangetan ha ha ha Shalom.,0,1,0,,112981189.0,Anton_Joely,"Situbondo, Jawa Timur",1035.0,683.0,eh anjing anton joely kaing kaing nie ye dicomberankadrun sich tolol banget ha ha ha shalom
454,1553325732117770240,2022-07-30 10:24:48+00:00,https://twitter.com/ruhutsitompul/status/1553325732117770240,@Anton_Joely AnjingKu anton makin stresssssss pesong/gila ha ha ha Shalom.,0,1,0,,112981189.0,Anton_Joely,"Situbondo, Jawa Timur",1035.0,683.0,anjing anton stresssssss pesong gila ha ha ha shalom
455,1553318522419576832,2022-07-30 09:56:09+00:00,https://twitter.com/ruhutsitompul/status/1553318522419576832,@Anton_Joely AnjingKu ini terkaing kaing dicomberan ha ha ha Shalom.,0,2,0,,,,,,,anjing kaing kaing comberan ha ha ha shalom
456,1553296862601703424,2022-07-30 08:30:05+00:00,https://twitter.com/ruhutsitompul/status/1553296862601703424,@Roni03055665 mimpi ka’le jadi Presiden ha ha ha paling plesiden2an ka’cian deh Shalom.,0,0,0,,,,,,,mimpi ka le presiden ha ha ha plesiden2an ka cian deh shalom
457,1553296341673328640,2022-07-30 08:28:01+00:00,https://twitter.com/ruhutsitompul/status/1553296341673328640,@iwantarigan goblok kali kau Bujur Shalom.,0,0,0,,,,,,,goblok kali kau bujur shalom
458,1553292547271053312,2022-07-30 08:12:56+00:00,https://twitter.com/ruhutsitompul/status/1553292547271053312,@IskhanFath67 Anjing ini ta’unya hanya sara ha ha ha pantas goblok terusssssss Shalom.,18,94,0,,7.15384202141696e+17,IskhanFath67,,219.0,367.0,anjing ta unya sara ha ha ha goblok terusssssss shalom
459,1553279801053814784,2022-07-30 07:22:17+00:00,https://twitter.com/ruhutsitompul/status/1553279801053814784,@Sanalu_Bis Eh anjingKu ini terkaing kaing dicomberan ha ha ha Mauliate Shalom.,0,2,0,,,,,,,eh anjing kaing kaing comberan ha ha ha mauliate shalom
460,1553276790487252993,2022-07-30 07:10:19+00:00,https://twitter.com/ruhutsitompul/status/1553276790487252993,"@kadrun51801114 Ha ha ha👺kadrun sich, sudah goblok sok pintar Shalom.",0,1,0,,,,,,,ha ha hakadrun sich goblok sok pintar shalom
461,1553275855342039040,2022-07-30 07:06:37+00:00,https://twitter.com/ruhutsitompul/status/1553275855342039040,"@Save_Moslem2 Hey goblok kali kau ha ha ha disini Bupatinya Nasdem, mereka Simpatisan PDI Perjuangan marahnya sama Bupati yg main kucing2an mengenai mau naiknya ticket Parawisata jadi datang kemari jgn sok pintar jadi kelihatan goblok ya Shalom MERDEKA🤟👍🙏🇮🇩.",0,0,0,,,,,,,hey goblok kali kau ha ha ha bupati nasdem simpatisan pdi juang marah bupati yg main kucing2an kena ticket parawisata kemari jgn sok pintar lihat goblok ya shalom merdeka
462,1553272983732785152,2022-07-30 06:55:12+00:00,https://twitter.com/ruhutsitompul/status/1553272983732785152,"@songohan141 Ha ha ha tolol kali kau, Aku bukan benci Arab, yg Aku benci eh mau Capres ngaku2 Asli Jokya pada hal Yaman malu dong biar dibilang Pribumi Asli ingat Rakyat Indonesia❤️tercinta Cerdas2 tdk bisa dibohongi istimewah Aku Poltak Raja Minyak dari Medan Sip deh MERDEKA🤟👍🙏🇮🇩.",22,22,2,,550912850.0,songohan141,semarang,54.0,164.0,ha ha ha tolol kali kau benci arab yg benci eh capres ngaku2 asli jokya yaman malu biar bilang pribumi asli rakyat indonesiatercinta cerdas2 tdk bohong istimewah poltak raja minyak medan sip deh merdeka
463,1553201699745320960,2022-07-30 02:11:56+00:00,https://twitter.com/ruhutsitompul/status/1553201699745320960,"Jangan hanya ngomong menyedihkan, ikut dong masuk penjara ini hanya Ngebacot dasar Baba Longseng ha ha ha Xie2. https://t.co/DxzkTFokuj",267,135,24,,,,,,,ngomong sedih masuk penjara ngebacot dasar baba longseng ha ha ha xie2
464,1553200727308521473,2022-07-30 02:08:05+00:00,https://twitter.com/ruhutsitompul/status/1553200727308521473,@FitrianAkbar2 Haleluya Puji Tuhan Yesus Shalom.,0,0,0,,,,,,,haleluya puji tuhan yesus shalom
465,1553188435288268800,2022-07-30 01:19:14+00:00,https://twitter.com/ruhutsitompul/status/1553188435288268800,"Baru Aku ta’u yg suka ngaku2  Asli Jokya itu, bahasanya Bahasa Arab ha ha ha Oh ho kau ketahuan Sip deh Maturnuwun Sukron nie ye MERDEKA🤟👍🙏🇮🇩. https://t.co/vCbaCdVh0n",1128,4100,168,,,,,,,ta u yg suka ngaku2 asli jokya bahasa bahasa arab ha ha ha oh ho kau sip deh maturnuwun sukron nie ye merdeka
466,1553177217278312448,2022-07-30 00:34:39+00:00,https://twitter.com/ruhutsitompul/status/1553177217278312448,@roring_lucky Haleluya Puji Tuhan Yesus Shalom.,3,1,0,,2496205878.0,roring_lucky,Tinggal di Ranotana Manado,477.0,609.0,haleluya puji tuhan yesus shalom
467,1553166471236587520,2022-07-29 23:51:57+00:00,https://twitter.com/ruhutsitompul/status/1553166471236587520,@mekarsatria11 Anjing ini makin pesong/gila lihat kesuksesan Aku ha ha ha Shalom.,1,1,0,,113849880.0,mekarsatria11,"Denpasar Selatan, Indonesia",7764.0,7082.0,anjing pesong gila lihat sukses ha ha ha shalom
468,1553155860456943618,2022-07-29 23:09:48+00:00,https://twitter.com/ruhutsitompul/status/1553155860456943618,@Nur_ichwan_Pctn Eh ada anjing yg terkaing kaing dicomberan ha ha ha Shalom.,0,0,0,,3967429994.0,Nur_ichwan_Pctn,Pacitan,25.0,21.0,eh anjing yg kaing kaing comberan ha ha ha shalom
469,1552962938784608256,2022-07-29 10:23:11+00:00,https://twitter.com/ruhutsitompul/status/1552962938784608256,@TheUncleDee Anjing ini terusssssss saja terkaing kaing dicomberan karena ketololannya ha ha ha 👺kadrun Sich Shalom.,0,1,0,,2408810690.0,TheUncleDee,,863.0,305.0,anjing terusssssss kaing kaing comberan tolol ha ha ha kadrun sich shalom
470,1552960985639833601,2022-07-29 10:15:26+00:00,https://twitter.com/ruhutsitompul/status/1552960985639833601,@TheUncleDee ada gitu yg berani pecat Aku ha ha ha  Haleluya Puji Tuhan Yesus Shalom.,0,3,0,,,,,,,gitu yg berani pecat ha ha ha haleluya puji tuhan yesus shalom
471,1552947824819830785,2022-07-29 09:23:08+00:00,https://twitter.com/ruhutsitompul/status/1552947824819830785,@tanjung_nuzul nggak ada yg injak runtuh sendiri ha ha ha tolol kali kau Shalom.,0,0,0,,,,,,,nggak yg injak runtuh ha ha ha tolol kali kau shalom
472,1552944116224651265,2022-07-29 09:08:24+00:00,https://twitter.com/ruhutsitompul/status/1552944116224651265,"@MegaPKeliduan Ha ha ha mau beken nebeng Poltak Raja Minyak, ya nyungsep Sip deh Shalom.",0,0,0,,,,,,,ha ha ha beken nebeng poltak raja minyak ya nyungsep sip deh shalom
473,1552884023948890112,2022-07-29 05:09:37+00:00,https://twitter.com/ruhutsitompul/status/1552884023948890112,"@AjahSanusi ini orang tolol sok pintar, tdk ta’u APBN dari Pusat dan APBD dari Daerah nggak ada gunanya dijelasin pasti tdk mengerti habis nya modalnya hanya Ngebacot Shalom.",0,0,0,,,,,,,orang tolol sok pintar tdk ta u apbn pusat apbd daerah nggak dijelasin tdk erti habis nya modal ngebacot shalom
474,1552871827797872641,2022-07-29 04:21:09+00:00,https://twitter.com/ruhutsitompul/status/1552871827797872641,"@FitrianAkbar2 Followers seupil gitu lho, mestinya ta’u diri eh nggak ngaca ngerasanin Followersnya Jutaan ini sich sudah pesong/gila ha ha ha Shalom.",0,1,0,,,,,,,followers upil gitu lho mesti ta u eh nggak ngaca ngerasanin followersnya juta sich pesong gila ha ha ha shalom
475,1552669688874024960,2022-07-28 14:57:55+00:00,https://twitter.com/ruhutsitompul/status/1552669688874024960,@FitrianAkbar2 @AssaMaulana @Dennysiregar7 @_ekokuntadhi Haleluya Puji Tuha Yesus Shalom.,0,2,0,,7.43376628969939e+17,FitrianAkbar2,,17.0,77.0,haleluya puji tuha yesus shalom
476,1552653655903735808,2022-07-28 13:54:13+00:00,https://twitter.com/ruhutsitompul/status/1552653655903735808,"@FitrianAkbar2 @AssaMaulana @Dennysiregar7 @_ekokuntadhi Eh 👺kadrun followersnya dikit banget eh sudah tahunan, nggak level ach ha ha ha Wassalam.",0,2,0,,7.43376628969939e+17,FitrianAkbar2,,17.0,77.0,eh kadrun followersnya dikit banget eh nggak level ach ha ha ha wassalam
477,1552647604030570496,2022-07-28 13:30:10+00:00,https://twitter.com/ruhutsitompul/status/1552647604030570496,"@FitrianAkbar2 @AssaMaulana @Dennysiregar7 @_ekokuntadhi Ha ha ha pendukung ACT marah nie ye, 👺kadrun goblok Sich Wassalam.",1,13,0,,7.43376628969939e+17,FitrianAkbar2,,17.0,77.0,ha ha ha dukung act marah nie ye kadrun goblok sich wassalam
478,1552646107682979842,2022-07-28 13:24:13+00:00,https://twitter.com/ruhutsitompul/status/1552646107682979842,@hasmarkoto @Beng_Setiono Kalempong ha ha ha Wassalam.,0,0,0,,7.208604278532424e+17,hasmarkoto,,265.0,145.0,kalempong ha ha ha wassalam
479,1552609355534856192,2022-07-28 10:58:11+00:00,https://twitter.com/ruhutsitompul/status/1552609355534856192,@YanHarahap anjing ini Gonggongannya makin pesong/gila saja maklum hidupnya dicomberan ha ha ha lanjutkan MERDEKA🤟👍🙏🇮🇩.,0,0,0,,,,,,,anjing gonggong pesong gila maklum hidup comberan ha ha ha merdeka
480,1552608253649244160,2022-07-28 10:53:48+00:00,https://twitter.com/ruhutsitompul/status/1552608253649244160,"@bintangku206 Ha ha ha ganteng kali gambar Aku, bikin👺kadrun2 pesong/gila Shalom.",1,0,1,,,,,,,ha ha ha ganteng kali gambar bikinkadrun2 pesong gila shalom
481,1552481623710797824,2022-07-28 02:30:37+00:00,https://twitter.com/ruhutsitompul/status/1552481623710797824,@Akun___Receh Hukuman Mati jgn kau kasih pilihan dimiskinkan ha ha ha nanti belagak miskin Sip deh Shalom.,3,1,1,,,,,,,hukum mati jgn kau kasih pilih miskin ha ha ha bagak miskin sip deh shalom
482,1552478245119225857,2022-07-28 02:17:11+00:00,https://twitter.com/ruhutsitompul/status/1552478245119225857,Ha ha ha jadi Badut rupanya sudah mendunia ha ha ha ngeri ka’le begini yg mau Nyapres MERDEKA🤟👍🙏🇮🇩.https://t.co/bbRkegTje0,391,248,45,,,,,,,ha ha ha badut rupa dunia ha ha ha ngeri ka le yg nyapres merdeka
483,1552470847574917120,2022-07-28 01:47:48+00:00,https://twitter.com/ruhutsitompul/status/1552470847574917120,@Edi_Gintings Adu data ha ha ha mana ada objektifnya makannya saja dari ga’benar kok geblek kali kau edi g Bujur Shalom.,0,2,0,,3915944365.0,Edi_Gintings,,192.0,286.0,adu data ha ha ha objektif makan ga geblek kali kau edi g bujur shalom
484,1552469212488429569,2022-07-28 01:41:18+00:00,https://twitter.com/ruhutsitompul/status/1552469212488429569,"Hidup ini jangan sombong eh merasa JIS Maha Karyanya sudah ta’u Dananya dari Pemerintah Pusat Bpk Joko Widodo, Gusti Boten Sare langsung dipermalukan bukan saja di Indonesia tapi langsung di Dunia, tolong Pak Polisi hasil kerjaannya diperiksa takut JISnya runtuh MERDEKA🤟👍🙏🇮🇩. https://t.co/z3YN8CmEgh",295,252,42,,,,,,,hidup sombong eh jis maha karya ta u dana perintah pusat bpk joko widodo gusti boten sare langsung malu indonesia langsung dunia tolong polisi hasil kerja periksa takut jisnya runtuh merdeka
485,1552464479019233281,2022-07-28 01:22:29+00:00,https://twitter.com/ruhutsitompul/status/1552464479019233281,"@abu_waras Ha ha ha ini maling teriak maling ta’u kok langsung lupa kasusnya ACT belum selesai terang benderangnya langsung nyerang biar tdk terungkap semua, ingat itu uang Rakyat yg kalian bohongi ra’cain Wassalam.",2,4,0,,,,,,,ha ha ha maling teriak maling ta u langsung lupa act selesai terang benderang langsung nyerang biar tdk uang rakyat yg bohong ra cain wassalam
486,1552461780034920448,2022-07-28 01:11:46+00:00,https://twitter.com/ruhutsitompul/status/1552461780034920448,"@LaNyallaAcademy Orang yg menyerang pasti Aku serang balik ha ha ha, enak saja 👺kadrun sukanya nyerang eh dibalas langsung cengeng ka’cian deh Wassalam.",18,8,0,,7.320870016005489e+17,LaNyallaAcademy,Jakarta Indonesia,10691.0,6496.0,orang yg serang serang ha ha ha enak kadrun suka nyerang eh balas langsung cengeng ka cian deh wassalam
487,1552443470203461632,2022-07-27 23:59:00+00:00,https://twitter.com/ruhutsitompul/status/1552443470203461632,"Tolong didengar dgn baik ya, Damai itu Indah itulah Indonesia❤️tercinta yg Ideologinya  Pancasila MERDEKA 🤟👍🙏🇮🇩https://t.co/3O20W1MIEg",432,46,75,,,,,,,tolong dengar dgn ya damai indah indonesiatercinta yg ideologi pancasila merdeka
488,1552440984616976385,2022-07-27 23:49:08+00:00,https://twitter.com/ruhutsitompul/status/1552440984616976385,@bangduha @aniesbaswedan @GeiszChalifah Sip deh 👍👍👍👍👍👍👍🙏🇮🇩.,0,0,0,,714662864.0,bangduha,Nusantara,1720.0,110.0,sip deh
489,1552438781084827648,2022-07-27 23:40:22+00:00,https://twitter.com/ruhutsitompul/status/1552438781084827648,"@arunariftan @je_born Ini Kura2 dalam perahu, pura2 tdk ta’u ha ha ha yg satu Presiden RI Dua Priode karena sangat dicintai Rakyatnya eh yg satu lagi Dosen UI yg dicopot nggak enak kalau Aku bilang sama dgn dipecat jadi raja dungu simenggerung gerung Sip deh MERDEKA🤟👍🙏🇮🇩.",3,3,1,,634450969.0,arunariftan,,423.0,216.0,kura2 perahu pura2 tdk ta u ha ha ha yg presiden ri priode cinta rakyat eh yg dosen ui yg copot nggak enak bilang dgn pecat raja dungu simenggerung gerung sip deh merdeka
490,1552435879922520064,2022-07-27 23:28:51+00:00,https://twitter.com/ruhutsitompul/status/1552435879922520064,"Ha ha ha beginilah orang kalau membela yg memberikan panggung utk mendengungkan ga’benar bersih, apalagi dapat jabatan Simanis Jembatan Ancol eh maksudKu Komisaris Ancol jadi membelanya membabi buta miskin atau belagak miskin takut ketauan MERDEKA🤟👍🙏🇮🇩.https://t.co/5dvJRj2Y7A",150,94,22,,,,,,,ha ha ha orang bela yg panggung utk dengung ga bersih jabat simanis jembatan ancol eh maksud komisaris ancol bela babi buta miskin bagak miskin takut tau merdeka
491,1552256348066557953,2022-07-27 11:35:27+00:00,https://twitter.com/ruhutsitompul/status/1552256348066557953,@PenDjooLL Ha ha ha👍👍👍👍👍👍👍Sip deh.,0,0,0,,1350861338.0,PenDjooLL,Temanggung,601.0,355.0,ha ha hasip deh
492,1552206081811939328,2022-07-27 08:15:43+00:00,https://twitter.com/ruhutsitompul/status/1552206081811939328,Ha ha ha Kita harus maklum cari makannya dari ga’benar sebentar la’ge sudah pengangguran sich Shalom MERDEKA🤟👍🙏🇮🇩.https://t.co/UaERzX9gCx,101,60,10,,,,,,,ha ha ha maklum cari makan ga sebentar la ge anggur sich shalom merdeka
493,1552182503662043137,2022-07-27 06:42:01+00:00,https://twitter.com/ruhutsitompul/status/1552182503662043137,"Ini siraja dungu kapan sich bisa ngaca ha ha ha, makin stresssssss saja sebentar lagi lagi pesong/gila Shalom MERDEKA🤟👍🙏🇮🇩.https://t.co/oepQ2094Ka",105,64,13,,,,,,,siraja dungu sich ngaca ha ha ha stresssssss sebentar pesong gila shalom merdeka
